commodity_code,description,duty_pct
03038939,Bevroren vis,7.5
03038940,Bevroren vis,10.0
03038950,Bevroren vis,15.0
03038955,Bevroren vis,15.0
03038960,Bevroren vis,15.0
03038965,Bevroren vis,15.0
03038970,Bevroren vis,7.5
03038990,Bevroren vis,15.0
03039110,Bevroren vis,0.0
03039190,Bevroren vis,10.0
03039215,Bevroren vis,8.0
03039230,Bevroren vis,8.0
03039240,Bevroren vis,8.0
03039250,Bevroren vis,8.0
03039290,Bevroren vis,8.0
03039900,Bevroren vis,10.0
03043100,Visfilets,9.0
03043200,Visfilets,9.0
03043300,Visfilets,9.0
03043900,Visfilets,9.0
03044100,Visfilets,2.0
03044210,Visfilets,12.0
03044250,Visfilets,9.0
03044290,Visfilets,12.0
03044300,Visfilets,18.0
03044410,Visfilets,18.0
03044430,Visfilets,18.0
03044490,Visfilets,18.0
03044500,Visfilets,18.0
03044600,Visfilets,18.0
03044710,Visfilets,18.0
03044720,Visfilets,18.0
03044730,Visfilets,18.0
03044790,Visfilets,18.0
03044800,Visfilets,18.0
03044910,Visfilets,9.0
03044950,Visfilets,18.0
03044990,Visfilets,18.0
03045100,Visfilets,8.0
03045200,Visfilets,8.0
03045300,Visfilets,15.0
03045400,Visfilets,15.0
03045500,Visfilets,15.0
03045610,Visfilets,15.0
03045620,Visfilets,15.0
03045630,Visfilets,15.0
03045690,Visfilets,15.0
03045700,Visfilets,15.0
03045910,Visfilets,8.0
03045950,Visfilets,15.0
03045990,Visfilets,15.0
03046100,Visfilets,9.0
03046200,Visfilets,9.0
03046300,Visfilets,9.0
03046900,Visfilets,9.0
03047110,Visfilets,7.5
03047190,Visfilets,7.5
03047200,Visfilets,7.5
03047300,Visfilets,7.5
03047411,Visfilets,7.5
03047415,Visfilets,7.5
03047419,Visfilets,6.1
03047490,Visfilets,7.5
03047500,Visfilets,13.7
03047910,Visfilets,7.5
03047930,Visfilets,7.5
03047950,Visfilets,7.5
03047980,Visfilets,7.5
03047990,Visfilets,15.0
03048100,Visfilets,2.0
03048210,Visfilets,12.0
03048250,Visfilets,9.0
03048290,Visfilets,12.0
03048310,Visfilets,7.5
03048330,Visfilets,7.5
03048350,Visfilets,15.0
03048390,Visfilets,15.0
03048400,Visfilets,7.5
03048500,Visfilets,15.0
03048600,Visfilets,15.0
03048700,Visfilets,18.0
03048811,Visfilets,7.5
03048815,Visfilets,7.5
03048818,Visfilets,7.5
03048822,Visfilets,7.5
03048829,Visfilets,7.5
03048890,Visfilets,15.0
03048910,Visfilets,9.0
03048921,Visfilets,7.5
03048929,Visfilets,7.5
03048930,Visfilets,18.0
03048941,Visfilets,15.0
03048949,Visfilets,15.0
03048960,Visfilets,15.0
03048990,Visfilets,15.0
03049100,Visfilets,7.5
03049200,Visfilets,7.5
03049310,Visfilets,14.2
03049390,Visfilets,8.0
03049410,Visfilets,14.2
03049490,Visfilets,7.5
03049510,Visfilets,14.2
03049521,Visfilets,7.5
03049525,Visfilets,7.5
03049529,Visfilets,7.5
03049530,Visfilets,7.5
03049540,Visfilets,7.5
03049550,Visfilets,7.5
03049560,Visfilets,7.5
03049590,Visfilets,7.5
03049610,Visfilets,7.5
03049620,Visfilets,7.5
03049630,Visfilets,7.5
03049690,Visfilets,7.5
03049700,Visfilets,7.5
03049910,Visfilets,14.2
03049921,Visfilets,8.0
03049923,Visfilets,15.0
03049929,Visfilets,8.0
03049955,Visfilets,15.0
03049961,Visfilets,15.0
03049965,Visfilets,7.5
03049999,Visfilets,7.5
03052000,Gedroogde/gezouten vis,11.0
03053100,Gedroogde/gezouten vis,16.0
03053211,Gedroogde/gezouten vis,16.0
03053219,Gedroogde/gezouten vis,20.0
03053290,Gedroogde/gezouten vis,16.0
03053910,Gedroogde/gezouten vis,15.0
03053950,Gedroogde/gezouten vis,15.0
03053990,Gedroogde/gezouten vis,16.0
03054100,Gedroogde/gezouten vis,13.0
03054200,Gedroogde/gezouten vis,10.0
03054300,Gedroogde/gezouten vis,14.0
03054410,Gedroogde/gezouten vis,14.0
03054490,Gedroogde/gezouten vis,14.0
03054910,Gedroogde/gezouten vis,15.0
